date,temperature_min,temperature_max,rainfall,wind_speed
2025-01-01,0.7,6.9,0.0,26.4
2025-01-02,1.2,6.7,4.2,26.1
2025-01-03,-1.4,2.4,0.4,30.3
2025-01-04,-2.7,0.8,0.0,19.8
2025-01-05,-2.5,0.3,3.0,18.7
2025-01-06,0.7,11.5,13.4,25.8
2025-01-07,1.4,8.5,1.4,20.9
2025-01-08,0.0,4.2,0.1,21.7
2025-01-09,0.3,1.2,1.1,22.8
2025-01-10,-0.6,1.1,1.1,20.2
2025-01-11,-0.6,0.6,0.0,26.4
2025-01-12,-3.3,1.2,0.0,17.8
2025-01-13,-6.4,-0.5,0.0,10.7
2025-01-14,-4.7,1.8,2.5,17.7
2025-01-15,1.9,4.2,0.1,16.5
2025-01-16,0.7,2.8,0.0,14.7
2025-01-17,-2.7,1.0,0.0,7.4
2025-01-18,-3.6,-0.1,0.0,6.6
2025-01-19,-3.7,5.1,0.0,12.7
2025-01-20,-1.5,5.0,0.0,12.7
2025-01-21,-3.0,0.7,0.0,8.9
2025-01-22,-3.8,3.9,0.0,15.8
2025-01-23,-0.6,3.7,4.4,20.6
2025-01-24,0.4,7.0,1.4,18.2
2025-01-25,6.0,13.7,1.1,20.9
2025-01-26,4.8,9.9,8.2,18.5
2025-01-27,3.3,11.0,1.7,21.3
2025-01-28,5.5,9.2,2.4,14.2
2025-01-29,3.8,8.6,2.3,20.0
2025-01-30,2.8,7.6,0.4,13.0
2025-01-31,2.3,5.6,3.0,20.3
2025-02-01,0.4,3.8,0.0,14.0
2025-02-02,-0.9,3.8,0.0,6.7
2025-02-03,-1.9,3.5,0.0,7.4
2025-02-04,-3.7,4.1,0.0,8.5
2025-02-05,-2.6,3.7,0.0,12.5
2025-02-06,1.8,4.8,0.0,11.3
2025-02-07,-0.1,3.0,0.0,17.8
2025-02-08,0.3,5.4,0.0,16.6
2025-02-09,-2.5,4.0,0.0,11.2
2025-02-10,-2.0,3.3,0.0,16.4
2025-02-11,-3.0,3.2,0.0,18.7
2025-02-12,-5.0,2.0,0.0,17.3
2025-02-13,-2.7,-0.2,0.2,9.6
2025-02-14,-2.0,1.1,0.1,12.2
2025-02-15,-5.8,-0.3,0.1,6.3
2025-02-16,-7.2,-1.1,0.0,11.2
2025-02-17,-12.1,-2.2,0.0,8.1
2025-02-18,-11.9,-1.7,0.0,7.0
2025-02-19,-13.3,0.2,0.0,13.0
2025-02-20,-7.2,1.2,0.0,14.5
2025-02-21,-2.4,5.2,0.0,12.8
2025-02-22,0.2,9.3,0.0,13.6
2025-02-23,3.3,11.1,0.0,15.5
2025-02-24,0.0,13.5,0.0,13.5
2025-02-25,5.7,11.5,4.0,13.2
2025-02-26,3.8,8.9,3.9,12.4
2025-02-27,4.3,9.7,1.0,14.6
2025-02-28,1.8,5.7,3.5,13.4
2025-03-01,0.9,5.6,0.2,13.2
2025-03-02,-0.1,7.2,0.0,15.3
2025-03-03,3.0,9.1,0.0,12.3
2025-03-04,0.2,10.5,0.0,11.5
2025-03-05,1.4,14.7,0.0,13.0
2025-03-06,1.5,15.5,0.0,9.6
2025-03-07,2.0,16.8,0.0,8.1
2025-03-08,2.9,15.9,0.0,13.1
2025-03-09,3.4,14.7,0.0,10.7
2025-03-10,1.1,14.8,0.0,8.8
2025-03-11,0.6,9.9,0.0,7.8
2025-03-12,3.3,7.6,2.0,8.5
2025-03-13,1.1,7.6,0.2,11.8
2025-03-14,1.4,7.8,0.6,9.4
2025-03-15,1.7,7.3,0.6,10.6
2025-03-16,-0.5,7.9,0.2,13.2
2025-03-17,-1.6,5.9,0.4,17.7
2025-03-18,-3.3,7.4,0.0,9.0
2025-03-19,-3.2,11.3,0.0,6.6
2025-03-20,-0.2,15.5,0.0,8.1
2025-03-21,1.7,16.4,0.0,15.3
2025-03-22,4.4,13.5,0.0,20.7
2025-03-23,6.3,13.3,0.0,18.3
2025-03-24,7.3,14.0,0.0,7.2
2025-03-25,5.2,13.7,0.0,12.1
2025-03-26,6.1,10.6,0.8,15.3
2025-03-27,2.6,10.2,0.0,10.0
2025-03-28,0.9,14.5,0.0,9.8
2025-03-29,3.8,15.4,0.0,17.7
2025-03-30,2.3,8.9,7.1,19.8
2025-03-31,5.1,11.4,1.1,19.6
2025-04-01,3.9,13.3,0.0,15.4
2025-04-02,3.1,15.3,0.0,14.4
2025-04-03,3.7,17.6,0.0,10.7
2025-04-04,5.2,19.9,0.0,10.3
2025-04-05,2.0,10.7,0.0,22.1
2025-04-06,0.2,7.8,0.0,18.4
2025-04-07,2.9,12.1,0.0,16.3
2025-04-08,3.6,13.4,0.0,7.8
2025-04-09,5.2,14.4,0.1,17.6
2025-04-10,3.7,13.7,0.0,18.2
2025-04-11,6.2,14.3,0.5,24.9
2025-04-12,8.7,17.4,0.0,8.8
2025-04-13,8.5,22.3,0.0,22.6
2025-04-14,10.8,20.8,0.6,11.5
2025-04-15,11.7,21.9,0.1,23.4
2025-04-16,12.7,25.3,0.0,15.3
2025-04-17,15.3,27.3,0.0,15.5
2025-04-18,10.3,16.7,1.1,13.8
2025-04-19,8.4,10.2,6.4,13.0
2025-04-20,5.7,18.7,0.0,7.6
2025-04-21,10.2,18.5,1.3,9.4
2025-04-22,9.1,18.2,4.4,13.4
2025-04-23,8.2,17.8,1.3,12.6
2025-04-24,8.5,17.8,0.0,14.3
2025-04-25,7.4,16.6,0.0,14.6
2025-04-26,5.6,15.1,0.0,14.7
2025-04-27,4.3,17.3,0.0,13.5
2025-04-28,5.9,21.7,0.0,10.1
2025-04-29,8.6,22.8,0.0,15.0
2025-04-30,9.5,22.6,0.0,10.7
2025-05-01,9.5,25.9,0.0,8.5
2025-05-02,13.6,27.5,0.6,26.5
2025-05-03,10.9,19.0,0.6,10.2
2025-05-04,8.2,14.7,0.9,23.9
2025-05-05,4.1,13.3,0.0,14.9
2025-05-06,1.9,15.9,0.0,16.9
2025-05-07,5.6,15.4,0.0,17.1
2025-05-08,4.9,15.6,0.0,11.8
2025-05-09,5.4,18.7,0.0,9.6
2025-05-10,9.8,17.7,0.1,14.4
2025-05-11,6.1,18.1,0.0,14.8
2025-05-12,4.9,19.1,0.0,13.8
2025-05-13,5.9,20.9,0.0,8.6
2025-05-14,11.2,22.1,0.0,21.8
2025-05-15,8.9,14.6,0.8,27.1
2025-05-16,8.1,17.1,1.6,19.9
2025-05-17,8.2,16.3,1.7,22.4
2025-05-18,6.7,13.9,2.3,17.4
2025-05-19,10.2,15.6,0.8,19.3
2025-05-20,9.3,22.6,0.0,11.3
2025-05-21,12.9,21.4,0.0,20.9
2025-05-22,8.6,15.5,0.2,25.8
2025-05-23,5.0,12.0,2.1,18.6
2025-05-24,6.1,16.8,0.1,15.7
2025-05-25,11.3,16.8,3.1,18.7
2025-05-26,11.7,19.7,0.1,16.1
2025-05-27,9.5,20.2,0.0,20.7
2025-05-28,13.6,18.6,4.6,22.0
2025-05-29,10.3,18.2,0.0,17.4
2025-05-30,13.2,23.3,3.9,18.9
2025-05-31,14.5,24.3,1.0,10.5
2025-06-01,16.3,27.3,2.3,19.8
2025-06-02,14.0,21.6,0.3,13.6
2025-06-03,12.5,25.9,0.0,16.7
2025-06-04,15.6,27.7,2.8,21.0
2025-06-05,15.8,22.3,1.6,19.2
2025-06-06,14.6,22.0,1.5,25.1
2025-06-07,14.2,22.5,5.4,21.1
2025-06-08,12.0,19.7,7.6,29.5
2025-06-09,10.4,17.8,3.6,20.4
2025-06-10,11.2,18.0,5.6,19.0
2025-06-11,12.3,20.1,1.1,23.2
2025-06-12,9.0,22.9,0.0,17.0
2025-06-13,11.7,24.9,0.0,15.4
2025-06-14,14.8,30.0,0.0,17.8
2025-06-15,17.6,32.9,1.7,23.2
2025-06-16,16.3,22.2,0.2,20.8
2025-06-17,13.4,25.9,0.0,10.2
2025-06-18,16.3,27.2,0.0,18.8
2025-06-19,15.3,22.2,0.0,21.9
2025-06-20,11.2,23.6,0.0,9.8
2025-06-21,12.5,28.6,0.0,9.0
2025-06-22,17.3,34.1,0.0,14.7
2025-06-23,16.9,27.5,2.9,29.6
2025-06-24,14.1,22.5,1.7,27.3
2025-06-25,17.4,24.3,4.5,23.7
2025-06-26,14.5,30.5,3.3,19.1
2025-06-27,16.7,22.0,1.5,23.1
2025-06-28,14.2,28.1,0.0,19.2
2025-06-29,19.5,28.3,1.0,22.4
2025-06-30,13.5,26.6,0.0,13.8
2025-07-01,14.7,32.8,0.0,13.0
2025-07-02,19.8,37.6,0.0,10.0
2025-07-03,19.3,30.4,0.2,20.1
2025-07-04,13.4,24.9,0.0,20.0
2025-07-05,15.0,28.7,0.0,18.1
2025-07-06,18.0,29.4,0.0,21.4
2025-07-07,16.4,24.7,6.6,15.1
2025-07-08,14.4,21.5,0.7,16.4
2025-07-09,14.7,21.4,2.3,20.3
2025-07-10,15.2,22.1,4.3,13.6
2025-07-11,13.3,21.9,6.5,18.9
2025-07-12,14.4,17.5,23.2,16.8
2025-07-13,14.9,21.6,11.0,11.0
2025-07-14,15.2,24.1,8.1,11.2
2025-07-15,16.7,22.1,3.1,17.5
2025-07-16,13.4,20.6,5.6,12.6
2025-07-17,13.8,19.2,15.3,19.5
2025-07-18,16.3,22.9,0.7,11.5
2025-07-19,15.8,26.1,0.0,8.7
2025-07-20,17.5,28.9,0.0,10.9
2025-07-21,16.1,22.6,44.3,20.3
2025-07-22,14.4,21.5,9.4,18.0
2025-07-23,15.6,19.7,25.3,20.2
2025-07-24,16.2,22.4,1.4,13.3
2025-07-25,17.9,23.6,7.6,15.9
2025-07-26,17.2,20.8,0.8,9.5
2025-07-27,15.2,23.8,0.7,7.6
2025-07-28,15.5,22.3,4.4,17.7
2025-07-29,14.1,20.2,1.1,18.2
2025-07-30,13.0,21.4,0.1,13.4
2025-07-31,14.1,19.4,3.1,18.4
2025-08-01,14.5,20.8,5.5,14.0
2025-08-02,13.9,21.6,3.1,13.3
2025-08-03,13.8,18.9,1.0,16.9
2025-08-04,14.7,22.2,8.5,15.6
2025-08-05,15.5,19.2,7.9,16.0
2025-08-06,12.0,20.4,0.7,17.8
2025-08-07,12.7,24.1,0.0,10.9
2025-08-08,15.5,26.8,0.0,15.5
2025-08-09,14.9,28.5,0.0,10.9
2025-08-10,16.2,23.5,0.0,18.5
2025-08-11,12.1,25.2,0.0,6.5
2025-08-12,14.1,28.8,0.0,11.4
2025-08-13,16.7,31.5,0.0,12.2
2025-08-14,17.8,32.8,0.0,9.1
2025-08-15,20.2,33.0,0.5,16.7
2025-08-16,17.4,24.7,0.0,16.0
2025-08-17,12.2,23.4,0.2,10.6
2025-08-18,11.6,24.1,0.0,9.9
2025-08-19,14.0,26.6,0.0,9.0
2025-08-20,14.8,24.0,0.0,15.5
2025-08-21,11.5,23.6,0.0,17.8
2025-08-22,11.1,19.6,0.1,21.4
2025-08-23,11.9,17.5,1.1,23.9
2025-08-24,8.4,18.3,0.0,17.9
2025-08-25,10.0,18.7,0.1,17.3
2025-08-26,9.0,21.0,0.0,8.8
2025-08-27,13.3,27.9,0.0,11.8
2025-08-28,17.6,21.7,9.2,11.5
2025-08-29,16.8,20.5,2.3,8.6
2025-08-30,14.8,22.4,0.2,10.4
2025-08-31,12.7,24.7,0.0,9.3
2025-09-01,14.8,26.5,0.0,17.4
2025-09-02,15.8,20.4,14.1,9.8
2025-09-03,14.0,23.4,0.0,17.9
2025-09-04,15.9,26.4,0.0,12.5
2025-09-05,16.0,20.0,5.3,15.0
2025-09-06,13.0,20.4,0.1,10.2
2025-09-07,11.9,21.3,0.0,10.9
2025-09-08,11.9,21.9,0.0,9.7
2025-09-09,12.6,24.2,0.0,11.0
